,Q1,Q2,Q3,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18a,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
12,4,1,1,2,2,2,1,8,9,2,2,2,1,2,2,3,5,1,1,1,1,2,2,2,2,2
13,3,2,2,1,2,1,1,6,5,2,1,1,1,2,2,3,3,1,1,2,2,2,1,2,1,2
16,3,1,1,2,2,2,2,7,7,2,1,2,1,2,2,3,5,1,1,2,3,1,1,2,2,2
18,2,1,1,2,2,2,2,7,7,1,2,1,1,2,2,2,4,1,1,2,2,2,2,1,2,2
21,2,1,1,2,2,1,1,7,6,1,1,2,2,2,2,2,5,1,1,2,2,2,2,2,2,1
24,3,1,1,2,2,1,2,7,7,1,2,1,1,2,2,3,5,1,1,2,2,2,1,2,2,2
28,4,1,1,2,2,1,2,7,7,2,2,2,1,2,2,1,4,1,1,2,2,2,1,2,1,2
35,5,1,1,2,2,1,1,8,7,1,2,2,2,2,2,3,5,1,1,2,2,2,2,2,2,2
36,2,2,1,2,2,1,1,7,8,1,2,2,1,2,2,2,5,1,1,2,4,2,2,2,1,2
44,4,1,1,2,2,2,2,8,8,1,1,1,1,2,2,4,3,1,1,2,3,2,1,2,1,2
46,2,1,1,2,2,2,1,8,7,1,1,2,1,2,2,4,4,1,1,1,4,2,2,2,2,1
49,4,1,1,2,2,2,2,7,8,1,1,2,1,2,2,2,3,1,1,2,3,1,2,2,2,1
63,5,1,1,1,2,1,1,7,6,1,1,2,1,2,1,4,1,1,1,2,3,2,2,2,2,2
67,3,1,1,2,2,2,2,7,8,2,1,1,1,2,2,3,5,1,1,2,3,2,2,2,1,2
68,3,1,1,2,2,2,2,8,8,1,1,2,2,2,2,2,3,1,1,2,3,2,2,2,2,2
77,3,2,1,2,2,1,2,8,7,2,2,2,1,2,2,4,5,1,1,2,2,1,1,1,1,2
86,2,1,1,2,2,2,1,8,8,1,1,1,1,2,1,3,5,3,3,1,2,1,2,2,2,2
90,3,1,1,2,2,1,2,6,6,2,2,1,1,2,2,2,3,1,1,2,4,2,2,1,2,2
102,2,2,1,2,2,1,1,8,7,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1
105,3,1,1,2,2,1,1,8,9,1,2,1,1,2,2,4,5,1,2,2,2,2,1,2,2,1
110,3,1,1,2,2,2,2,10,8,1,1,2,1,2,2,4,3,1,1,2,2,2,2,1,1,2
114,6,2,1,1,2,1,1,6,5,2,2,2,1,2,2,4,5,1,1,2,5,2,2,2,2,2
115,3,2,1,1,1,1,1,7,4,1,1,2,2,2,2,4,3,1,1,2,2,2,2,2,1,2
116,2,1,1,2,1,2,1,8,7,1,1,2,1,2,1,4,2,2,1,2,3,2,2,1,1,1
117,4,1,5,2,1,1,1,2,6,2,2,2,1,2,2,3,3,2,4,1,1,1,2,2,2,2
119,2,1,1,2,1,2,1,8,8,1,1,2,1,2,2,5,5,2,4,2,3,2,2,2,2,2
124,2,1,1,2,1,1,1,9,7,1,2,2,1,2,2,2,4,1,1,2,3,2,2,2,2,2
128,5,2,1,1,1,1,1,6,5,2,2,2,2,2,2,2,4,1,1,2,5,1,2,2,2,2
130,2,1,1,1,1,1,1,8,6,2,2,2,1,2,2,4,3,1,1,2,5,2,2,2,2,2
132,4,1,1,2,1,2,1,8,6,1,2,2,1,2,1,3,4,1,1,1,1,1,2,2,2,2
133,4,1,1,2,1,1,2,7,5,2,2,2,1,2,1,3,4,1,1,2,2,2,2,2,1,2
138,4,1,1,2,2,1,2,6,8,2,2,2,1,2,1,3,4,1,1,2,2,2,2,2,1,2
141,4,1,1,2,2,1,2,7,7,1,2,2,1,2,2,4,5,1,1,2,3,2,2,2,2,2
145,5,1,1,2,1,2,1,8,6,1,2,2,2,2,2,3,5,2,4,2,2,1,2,2,1,2
148,5,1,1,2,1,2,1,7,9,2,2,2,1,2,2,2,4,1,1,2,5,1,2,2,2,2
159,4,1,1,1,1,1,1,6,6,2,2,1,1,2,2,4,3,2,2,2,3,2,2,2,2,2
163,4,1,7,2,2,1,2,8,6,2,2,2,2,2,2,3,5,1,1,2,2,2,2,2,2,2
164,3,2,7,2,1,2,1,7,9,1,2,2,2,2,2,4,3,2,1,2,2,2,2,2,2,2
168,3,1,1,2,2,1,2,7,6,2,2,2,1,2,2,3,5,1,1,2,2,2,2,2,2,2
182,2,2,1,2,1,1,1,8,9,2,2,2,1,2,2,2,4,1,1,2,3,2,2,1,1,2
183,3,1,1,2,1,1,2,7,7,2,1,2,1,2,2,3,3,1,1,2,3,2,2,1,2,1
